Restaurant name,Restaurant address,City,Postal code,Region
"<a href=""https://sweetdutchess.ca/"">Sweet Dutchess Kitchen & Cafe</a>","2 Orchard Heights Boulevard, Unit 23",Aurora,L4G 3W3,Central Ontario
"<a href=""https://wickedeats.ca/"">Wicked Eats Kitchen + Bar</a>",15570 Yonge Street,Aurora,L4G 1P2,Central Ontario
"<a href=""https://www.bullandbarrel.ca/"">Bull and Barrel Pub</a>",901-75 Cedar Pointe Drive,Barrie,L4N 5R7,Central Ontario
"<a href=""https://chanterellebistro.com/"">Chanterelle Bistro</a>",33 Division Street,Bowmanville,L1C 2Z3,Central Ontario
"<a href=""https://thefoodquotient.ca/"">The Food Quotient</a>","15 Fisherman Drive, Unit 17",Brampton,L7A 1B7,Central Ontario
"<a href=""https://spirittreecider.com/"">Spirit Tree Estate Cidery</a>",1137 Boston Mills Road,Caledon,L7C 0N1,Central Ontario
"<a href=""https://www.silverlakesgolf.com/"">16 Lakes Bistro</a>",21114 Yonge Street,East Gwillimbury,L9N 0J8,Central Ontario
Mealtors Jamaican Fusion Cuisine,"900 Albion Road, Unit 30",Etobicoke,M9V 1A5,Central Ontario
"<a href=""https://www.roguesrestaurant.com/"">Rogues</a>",1900 Dundas Street West,Mississauga,L5K 1P9,Central Ontario
"<a href=""https://www.shoregrillandgrotto.ca/"">Shore Grill and Grotto</a>",71 Lakeshore Road East,Mississauga,L5G 1C9,Central Ontario
"<a href=""http://www.postaportcredit.com/"">Posta Italbar Cucina</a>",31 Lakeshore Road East,Mississauga,L5G 4V5,Central Ontario
"<a href=""http://ristoranteorsini.com/"">Ristorante Orsini</a>","16700 Bayview Avenue, Unit 1",Newmarket,L3X 1W1,Central Ontario
"<a href=""http://irieibistro.com/"">Irie I Bistro</a>","16635 Yonge Street, Unit 19",Newmarket,L3Z 1V6,Central Ontario
"<a href=""https://www.thecommonstove.com/"">The Common Stove</a>",27 Mississaga Street West,Orillia,L3V 3A5,Central Ontario
"<a href=""https://www.picnicbar.ca/menu"">Picnic Snack Bar</a>",140 Mississaga Street East,Orillia,L3V 1V7,Central Ontario
Pier 21,106 Main Street,Penetanguishene,L9M 1T5,Central Ontario
World Famous Dock Lunch,4 Main Street,Penetanguishene,L9M 1T1,Central Ontario
PORT Restaurant,1289 Wharf Street Bay Ridges,Pickering,L1W 1A2,Central Ontario
"<a href=""https://chefreza.ca/"">Chef Reza</a>",13071 Yonge Street,Richmond Hill,L4E 1A5,Central Ontario
"<a href=""https://thelocalrestaurant.ca/"">The Local Cafe and Restaurant</a>",937 Progress Avenue,Scarborough,M1G 3T8,Central Ontario
"<a href=""http://www.barrelrestaurant.ca"">Barrel Restaurant</a>",131 Queensway West,Simcoe,N3Y 2M8,Central Ontario
"<a href=""https://blueelephant.ca/"">Blue Elephant Craft Brew House</a>",96 Norfolk Street South,Simcoe,N3Y 2W2,Central Ontario
"<a href=""https://avivimmigrantkitchen.ca/"">Aviv Immigrant Kitchen</a>",779 St. Clair Avenue West,Toronto,M6C 1B7,Central Ontario
"<a href=""https://www.detroitpizzeria.ca/"">Detroit Pizzeria</a>",1093 Bathurst Street,Toronto,M5R 3G8,Central Ontario
"<a href=""https://www.thenandnowrestaurant.com/"">Then & Now Restaurant</a>",1316 Queen Street West,Toronto,M6K 1L4,Central Ontario
"<a href=""https://www.lambrettapizzeria.ca/"">Lambretta Pizzeria</a>",1151 Davenport Road,Toronto,M6H 2G4,Central Ontario
"<a href=""https://www.cntower.ca/plan-your-visit/dining-at-the-cn-tower"">360 The Restaurant at the CN Tower</a>",290 Bremner Boulevard,Toronto,M5V 3L9,Central Ontario
"<a href=""https://www.bindia.ca/"">Bindia Indian Bistro</a>",16 Market Street,Toronto,M5E 1A9,Central Ontario
"<a href=""https://richmondstation.ca/"">Richmond Station</a>",1 Richmond Street West,Toronto,M5H 3W4,Central Ontario
"<a href=""https://dailoto.com/"">DaiLo</a>",503 College Street,Toronto,M6G 1A5,Central Ontario
"<a href=""https://www.magicoven.com/"">Magic Oven</a>",127 Jefferson Avenue,Toronto,M6K 3E4,Central Ontario
"<a href=""https://mapleleaftavern.ca/"">Maple Leaf Tavern</a>",955 Gerrard Street East,Toronto,M4M 1Z4,Central Ontario
"<a href=""https://www.thechefshouse.com/"">The Chef's House</a>",215 King Street East,Toronto,M5A 1J9,Central Ontario
"<a href=""https://www.torontomu.ca/tedrogersschool/"">Ted Rogers School of Management&nbsp;- Toronto Metropolitan University</a>",55 Dundas Street West,Toronto,M5G 2C3,Central Ontario
"<a href=""https://www.rationbeverley.com/"">Ration Beverley</a>",335 Queen Street West,Toronto,M5V 2A4,Central Ontario
"<a href=""https://aleezaspizza.com/"">Aleeza's Pizza</a>",1768 Weston Road,Toronto,M9V 1A8,Central Ontario
"<a href=""https://urbanpantry.ca/"">Urban Pantry</a>",4 Toronto Street North,Uxbridge,L9P 1E6,Central Ontario
"<a href=""https://aycarambaeh.ca/"">Ay Caramba, Eh!</a>","3540 Rutherford Road, Unit 65",Vaughan,L4H 3T8,Central Ontario
"<a href=""https://www.bistro67.ca/"">Bistro 67</a>",1604 Champlain Avenue,Whitby,L1N 9B2,Central Ontario
"<a href=""https://www.thespringwoodwhitby.com/"">The Springwood</a>","1645 Dundas Street East, Unit 1",Whitby,L1N 2K9,Central Ontario
"<a href=""https://westendgrillhouse.com/"">Westend Grill house</a>","4040 Steeles Avenue West, Unit 1",Woodbridge,L4L 4Y5,Central Ontario
"<a href=""https://www.lumbertownalehouse.ca/"">Lumbertown Ale House</a>",123 John Street North,Arnprior,K7S 2N5,Eastern Ontario
What The Fries,4461 Ganaraska Road,Campbellcroft,L0A 1B0,Eastern Ontario
"<a href=""https://www.themillincobourg.com/"">The Mill Restaurant & Pub</a>",990 Ontario Street,Cobourg,K9A 3C7,Eastern Ontario
City Limits Bar & Grill,17369 Cornwall Centre Road,Cornwall,K6J 1K6,Eastern Ontario
"<a href=""https://www.thelockeratthefalls.com/"">The Locker at the Falls</a>",9 Lindsay Street,Fenelon Falls,K0M 1N0,Eastern Ontario
"<a href=""https://www.eganridge.com/dining"">Eganridge Resort, Golf Club & Spa</a>",26 Country Club Drive,Fenelon Falls,K0M 1N0,Eastern Ontario
"<a href=""https://www.steannes.com/"">Ste. Anne's Spa</a>",1009 Massey Road,Grafton,K0K 2G0,Eastern Ontario
"<a href=""https://deerhurstresort.com/dine/compass-wine-spirits-beer/"">Compass Grill & Bar</a>",1235 Deerhurst Drive,Huntsville,P1H 2E8,Eastern Ontario
"<a href=""https://deerhurstresort.com/dine/eclipse/"">Eclipse Restaurant & Terrace</a>",1235 Deerhurst Drive,Huntsville,P1H 2E8,Eastern Ontario
"<a href=""https://deerhurstresort.com/dine/maple-pub-patio/"">Maple Pub & Patio</a>",1235 Deerhurst Drive,Huntsville,P1H 2E8,Eastern Ontario
"<a href=""https://deerhurstresort.com/dine/the-antler/"">The Antler Steakhouse</a>",249 Deerhurst Highlands Drive,Huntsville,P1H 2E8,Eastern Ontario
"<a href=""https://elmhirst.ca/"">Elmhirst's Resort</a>",1045 Settlers Line,Keene,K0L 2G0,Eastern Ontario
"<a href=""https://aquaterrakingston.com/"">Aquaterra</a>",1 Johnson Street,Kingston,K7L 5H7,Eastern Ontario
"<a href=""https://www.atomica.ca/"">Atomica</a>",71 Brock Street,Kingston,K7L 2Z9,Eastern Ontario
"<a href=""https://bdtavern.com/"">Black Dog Tavern</a>",69 Brock Street,Kingston,K7L 1R8,Eastern Ontario
"<a href=""https://www.dianneskingston.com/"">Dianne's Fishshack and Smokehouse</a>",195 Ontario Street,Kingston,K7L 2Y7,Eastern Ontario
"<a href=""https://www.harpersburgerbar.com/"">Harper's Burger Bar</a>",93 Princess Street,Kingston,K7L 1A6,Eastern Ontario
"<a href=""https://toastandjamcafe.ca/menu-1-1"">Toast & Jam</a>",1530 Bath Road,Kingston,K7M 4X6,Eastern Ontario
"<a href=""https://wharfandfeather.ca/"">Wharf & Feather</a>",2 Princess Street,Kingston,K7L 1A2,Eastern Ontario
"<a href=""https://worksburger.com/"">The Works Burger Bistro</a>",289 Princess Street,Kingston,K7L 1B5,Eastern Ontario
"<a href=""https://burleighfallsinn.com/"">Burleigh Falls Inn</a>",4791 Highway 28,Lakefield,K0L 2H0,Eastern Ontario
"<a href=""https://www.heatherlodge.com/"">Heather Lodge</a>",14483 Highway 35,Minden,K0M 2K0,Eastern Ontario
"<a href=""https://www.bluecactusbarandgrill.com/"">Blue Cactus Bar and Grill</a>",2 Byward Market,Ottawa,K1N 7A1,Eastern Ontario
"<a href=""https://beckta.com/"">Beckta Dining & Wine</a>",150 Elgin Street,Ottawa,K2P 1L4,Eastern Ontario
"<a href=""https://coconutlagoon.ca/"">Coconut Lagoon</a>",853 St. Laurent Boulevard,Ottawa,K1K 3B1,Eastern Ontario
"<a href=""https://www.spinkitchenbar.com/"">SPIN Kitchen & Bar</a>",100 Kent Street,Ottawa,K1P 5R7,Eastern Ontario
"<a href=""https://www.publicanhouse.com/"">The Publican House Brewery</a>",294 Charlotte Street,Peterborough,K9J 2V5,Eastern Ontario
"<a href=""https://www.blackhoneybakery.ca/"">Blackhoney Bakery</a>",217 Hunter Street West,Peterborough,K9H 2L1,Eastern Ontario
"<a href=""https://waringhouse.com/"">The Waring House</a>",395 Sandy Hook Road,Picton,K0K 2T0,Eastern Ontario
"<a href=""https://www.theroyalhotel.ca"">The Royal Hotel</a>",247 Picton Main Street,Picton,K0K 2T0,Eastern Ontario
"<a href=""https://www.sandandpearloysterbar.com/"">Sand and Pearl Oyster Bar</a>",1705 County Road 12,Prince Edward,K0K 2T0,Eastern Ontario
"<a href=""https://thecountypicnic.com/"">The County Picnic</a>","<abbr title=""not available"">N/A</abbr>",Prince Edward County,"<abbr title=""not available"">N/A</abbr>",Eastern Ontario
"<a href=""https://www.tomassos.ca/"">Tomasso's Italian Grille</a>",35 Front Street,Trenton,K8V 4N3,Eastern Ontario
"<a href=""https://newgrain.ca/"">New Grain Kitchen</a>",13A Water Street,Gore Bay,P0P 1H0,Northern Ontario
"<a href=""https://manitoulinhotel.com/dining/"">North 46</a>","66 Meredith Street, <abbr title=""post office"">P.O.</abbr> Box 176",Little Current,P0P 1K0,Northern Ontario
"<a href=""https://trestlebrewing.com/"">Trestle Brewing Company</a>",9 Great North Road,Parry Sound,P2A 2X8,Northern Ontario
"<a href=""https://www.thebreakfastpig.com/"">The Breakfast Pig</a>",265 Bruce Street,Sault Ste. Marie,P6B 1P5,Northern Ontario
"<a href=""https://verdicchio.ca/"">Verdicchio</a>",1351-D Kelly Lake Road,Sudbury,P3E 5P5,Northern Ontario
"<a href=""https://www.gardensgate.ca/"">The Gardens Gate</a>",416 Highway 542,Tehkummah,P0P 2C0,Northern Ontario
"<a href=""https://radicalgardens.com/"">Radical Gardens</a>",163 5<sup>th</sup> Avenue,Timmins,P4N 5L1,Northern Ontario
"<a href=""https://ancastermill.ca/"">Ancaster Mill</a>",548 Old Dundas Road,Ancaster,L9G 3J4,Western Ontario
"<a href=""https://www.riverroadbrewing.com/"">River Road Brewing and Hops</a>",35449 Bayfield River Road,Bayfield,N0M 1G0,Western Ontario
"<a href=""https://redstonewines.ca/the-restaurant/"">The Restaurant at Redstone Winery</a>",4245 King Street,Beamsville,L0R 1B1,Western Ontario
"<a href=""https://cowbellbrewing.com/"">Cowbell Brewing Co.</a>",40035 Blyth Road,Blyth,N0M 1H0,Western Ontario
"<a href=""https://www.laroadhouse.ca/menu"">LA Roadhouse</a>",186 Peter Street,Bothwell,N0P 1C0,Western Ontario
"<a href=""https://www.mercasa.ca/"">Mercasa Little Italy Eatery</a>",195 Henry Street,Brantford,N3S 5C9,Western Ontario
"<a href=""https://steelwheel.ca/"">Steel Wheel Brewery</a>",105 Powerline Road,Brantford,N3T 5L8,Western Ontario
"<a href=""https://www.udderlyridiculous.ca/"">Udderly Ridiculous</a>",906200 Township Road 12,Bright,N0J 1B0,Western Ontario
"<a href=""https://www.rbg.ca/"">Royal Botanical Gardens</a>",680 Plains Road West,Burlington,L7T 4H4,Western Ontario
"<a href=""https://spencers.ca/"">Spencer's at the Waterfront</a>",1340 Lakeshore Road,Burlington,L7S 1B1,Western Ontario
"<a href=""https://cambridgemill.ca/"">Cambridge Mill</a>",100 Water Street North,Cambridge,N1R 1P1,Western Ontario
"<a href=""https://www.langdonhall.ca/"">Langdon Hall</a>",1 Langdon Drive,Cambridge,N3H 4R8,Western Ontario
"<a href=""https://littlemushroomcatering.ca/"">Little Mushroom Dining Lounge</a>","131 Sheldon Drive, Unit 6",Cambridge,N1R 6S2,Western Ontario
"<a href=""https://cascatabistro.ca/"">Cascata Bistro</a>",281 Carlisle Road,Carlisle,L0R 1H2,Western Ontario
"<a href=""https://www.instagram.com/taste.bytiff"">Taste</a>",105 King Street West,Chatham,N7M 1E2,Western Ontario
"<a href=""https://www.crowsfoot.ca/"">Crowsfoot</a>",1872 Sawmill Road,Conestogo,N0B 1N0,Western Ontario
"<a href=""https://eloramill.ca/"">Elora Mill</a>",77 Mill Street West,Elora,N0B 1S0,Western Ontario
"<a href=""https://la-fontana.ca/"">La Fontana</a>",15 East Mill Street,Elora,N0B 1S0,Western Ontario
"<a href=""https://eddingtons.ca/"">Eddington's of Exeter</a>",527 Main Street South,Exeter,N0M 1S1,Western Ontario
"<a href=""https://www.robinsonfreshcafe.ca/"">Robinson Fresh Cafe</a>",134 Main Street,Exeter,N0M 1S1,Western Ontario
"<a href=""https://part2bistro.ca/"">Part 2 Bistro</a>",10 Courthouse Square,Goderich,N7A 1M3,Western Ontario
"<a href=""https://borealisgrille.ca/"">Borealis Grille and Bar</a>",1388 Gordon Street,Guelph,N1L 1C8,Western Ontario
"<a href=""https://miijidaa.ca/"">Miijidaa</a>",37 Quebec Street,Guelph,N1H 2T1,Western Ontario
"<a href=""https://www.parkeatery.ca/"">Park Eatery</a>",294 Woolwich Street,Guelph,N1H 3W3,Western Ontario
The Wooly Pub,176 Woolwich Street,Guelph,N1H 4G3,Western Ontario
"<a href=""https://www.wellingtonbrewery.ca/"">Wellington Brewery</a>",950 Woodlawn Road West,Guelph,N1K 1G2,Western Ontario
"<a href=""https://north42degrees.com/fall-lunch-menu/"">Bistro 42</a>",130 Essex County Road 50,Harrow,N0R 1G0,Western Ontario
"<a href=""https://oxleyestatewinery.com/restaurant/"">Oxley Estate Winery Restaurant</a>",533 County 50 Road East,Harrow,N0R 1G0,Western Ontario
